Reference,Dataset,Zone,Date,Own/rent land,Purpose,Purpose,Size,Farmer,Focus,Focus,Focus,Conservation concern,Seen hares,When,Consider hares pests,Hare numbers (=<50),Hare numbers (>5),Aware of 2 sp in NI,Seen L. europaeus,Seen L. europaeus on own land,Most recent,Is threat of L. europaeus important,Support management of L. europaeus,Habitat management for L. t. hibernicus,Lethal culling,Shooting,Netting,Trapping,Other,Support management via petition,Landowner permission to survey,Allow cull on own land,Member of conservation org,Hunt,Game birds,Rabbits,Wildfowl,Fishing/Angling,Other,Other,Support cull with direct involvement,Allow cull on land,Support Gov't cull decision
HP50114,P,PERIPHERY,09/08/2014,N,,,,N,,,,C,Y,6,N,D,N,Y,Y,,,Y,Y,Y,N,,Y,,,Y,,,,N,Y,,,,Y,,N,N,Y
HP50814,P,PERIPHERY,12/08/2014,Y,A,,8a,N,,,,H,Y,1,N,D,D,N,N,N,,Y,Y,Y,N,,,,,N,Y,N,Y,N,,,,,,,N,N,N
HP51314,P,PERIPHERY,,Y,A,,10a,Y,,,,H,Y,6,N,D,D,Y,Y,Y,6,Y,N,,,,,,,N,N,,N,N,,,,,,,N,N,N
HP51414,P,PERIPHERY,15/08/2014,Y,A,,90a,Y,B,D,,C,Y,0,N,N,N,N,N,N,,Y,Y,Y,N,,Y,Y,,N,Y,,N,N,,,,,,,N,,Y
HP51714,P,PERIPHERY,14/08/2014,Y,A,,,N,,,,,Y,0,N,N,I,N,N,N,,Y,Y,Y,,,,,,Y,Y,,N,N,,,,,,,Y,,Y
HP51914,P,PERIPHERY,16/08/2014,Y,A,,,N,,,,C,Y,0,N,N,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,N,N,,N,N,,,,,,,N,N,N
HP52214,P,PERIPHERY,14/08/2014,Y,A,,34ha,Y,B,S,,C,Y,2,N,D,D,Y,Y,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP52514,P,PERIPHERY,01/09/2014,Y,,,,N,,,,C,Y,0,N,D,N,N,N,N,,Y,Y,Y,N,,,,,N,N,,N,N,,,,,,,,,N
HP55014,P,PERIPHERY,14/08/2014,Y,A,,20a,Y,A,,,H,Y,0,N,D,D,N,Y,Y,0,Y,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP55314,P,PERIPHERY,13/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,N,,,N,N,Y,N,,,,,N,,,N,N,,,,,,,N,,N
